Occupation,n_total,med_weeklypay_tot,n_men,med_weeklypay_men,n_women,med_weeklypay_women,occupation_cat,occupation_subcat
Medical transcriptionists,21,,8,,13,,Service occupations,Healthcare support
Pharmacy aides,28,,10,,19,,Service occupations,Healthcare support
Veterinary assistants and laboratory animal caretakers,41,,10,,31,,Service occupations,Healthcare support
Phlebotomists,112,800,15,,98,803,Service occupations,Healthcare support
Other healthcare support workers,170,933,58,1010,112,871,Service occupations,Healthcare support
Firstline supervisors of correctional officers,45,,37,,8,,Service occupations,Protective service
Firstline supervisors of police and detectives,103,1890,89,1897,14,,Service occupations,Protective service
Firstline supervisors of firefighting and prevention workers,52,1826,50,1841,1,,Service occupations,Protective service
Firstline supervisors of security workers,69,1046,49,,20,,Service occupations,Protective service
"Firstline supervisors of protective service workers, all other",2,,2,,0,,Service occupations,Protective service
Firefighters,358,1555,341,1567,17,,Service occupations,Protective service
Fire inspectors,20,,19,,1,,Service occupations,Protective service
Bailiffs,15,,11,,4,,Service occupations,Protective service
Correctional officers and jailers,282,1220,219,1269,63,993,Service occupations,Protective service
Detectives and criminal investigators,139,1649,88,1912,51,1331,Service occupations,Protective service
Fish and game wardens,10,,10,,1,,Service occupations,Protective service
Parking enforcement workers,13,,8,,5,,Service occupations,Protective service
Police officers,719,1480,607,1534,112,1174,Service occupations,Protective service
Animal control workers,8,,5,,3,,Service occupations,Protective service
Private detectives and investigators,127,1425,67,1820,60,1157,Service occupations,Protective service
Security guards and gambling surveillance officers,761,819,590,843,171,787,Service occupations,Protective service
Crossing guards and flaggers,21,,16,,5,,Service occupations,Protective service
Transportation security screeners,43,,35,,8,,Service occupations,Protective service
School bus monitors,11,,1,,11,,Service occupations,Protective service
Other protective service workers,54,837,33,,21,,Service occupations,Protective service
Chefs and head cooks,411,951,305,964,106,920,Service occupations,Food preparation and serving related
Firstline supervisors of food preparation and serving workers,404,784,174,863,230,740,Service occupations,Food preparation and serving related
Cooks,1250,690,705,707,545,660,Service occupations,Food preparation and serving related
Food preparation workers,468,651,209,660,259,647,Service occupations,Food preparation and serving related
Bartenders,217,1008,119,1197,97,841,Service occupations,Food preparation and serving related
Fast food and counter workers,356,610,125,617,232,608,Service occupations,Food preparation and serving related
Waiters and waitresses,735,662,233,752,502,633,Service occupations,Food preparation and serving related
"Food servers, nonrestaurant",90,697,28,,62,678,Service occupations,Food preparation and serving related
Dining room and cafeteria attendants and bartender helpers,100,650,56,712,45,,Service occupations,Food preparation and serving related
Dishwashers,119,622,97,602,21,,Service occupations,Food preparation and serving related
